ID,Pozo_DGA,Pozo,E,N,Tipo,Operador,Z,Profundidad,Info SNGM - Collar
234,El Carmelo 2 D-60,SNGM-PTA-0537,435129.29,7755580.66,Monitoreo,NN,1021.063,183,SNGM
235,Esmeralda 14,SNGM-PTA-0538,460279.48,7735015.73,Monitoreo,NN,1115.626,90,SNGM
236,Esmeralda 15,SNGM-PTA-0539,460373.48,7735005.74,Monitoreo,NN,1118.029,Sin información,SNGM
237,S. Pintados D-66,SNGM-PTA-0543,422090.26,7753912.58,Monitoreo,NN,1012.972,Sin información,SNGM
238,Mendieta A-9,SNGM-PTA-0545,435018.36,7743587.62,Monitoreo,NN,986.758,Sin información,SNGM
239,Pintados Pica 3 315,SNGM-PTA-0546,454122.5,7727886.68,Monitoreo,NN,1055.512,71.6,SNGM
240,TC-92,SNGM-PTA-0600,448367.8,7705098.16,Monitoreo,NN,1016.378,Sin información,SNGM
241,Esmeralda 34,SNGM-PTA-0611,456249,7738021,Monitoreo,NN,1075.673,85,SNGM
242,Gmo. Araya A-100,SNGM-PTA-0615,431716,7747781,Monitoreo,NN,998.523,Sin información,SNGM
243,Planta Sara 3A,SNGM-PTA-0618,421826,7753269,Monitoreo,NN,1016.016,Sin información,SNGM
244,Valle Quisma p075,SNGM-PTA-0627,463667,7730896,Monitoreo,NN,1215.692,10.2,SNGM
245,Salar Zapiga 4,SNGM-PTA-0628,412650.93,7808958.71,Monitoreo,NN,1149.022,15.74,SNGM
246,Salar Zapiga 2,SNGM-PTA-0632,424887,7821530,Monitoreo,NN,1313.821,12,SNGM
247,Bellavista Sur,SNGM-PTA-0659,438284,7700237,Monitoreo,NN,956.193,16.7,SNGM
248,Reserva Bellavista 1,SNGM-PTA-0663,433341,7702047,Monitoreo,NN,950.914,Sin información,SNGM
249,Carmina 1,SNGM-PTA-0691,417434,7803733,Monitoreo,NN,1154.208,110,SNGM
250,Carmina 2,SNGM-PTA-0692,417623.65,7803542.34,Monitoreo,NN,1153.922,103.95,SNGM
251,Aroma PF-004,SNGM-PTA-0693,427968,7808184,Monitoreo,NN,1238.621,13.4,SNGM
252,Tarapacá 4,SNGM-PTA-0702,418744,7758357,Monitoreo,NN,1025.219,Sin información,SNGM
253,SC-968,SNGM-PTA-0704,425503.5,7779668.95,Monitoreo,NN,1078,90.75,SNGM
254,R-1,SNGM-PTA-0706,425167,7790248,Monitoreo,NN,1108.547,151.25,SNGM
255,MERCK-IX,SNGM-PTA-0707,421491.5,7789322.32,Monitoreo,NN,1107.1,62.5,SNGM
256,Pozo Almonte S-12,SNGM-PTA-0710,425657,7764417,Monitoreo,NN,1038.254,50.35,SNGM
