ID;Pozo_DGA;Pozo;E;N;Tipo;Operador;Z;Profundidad;Info SNGM - Collar
228;DGA 567;SNGM-PTA-0523;463241;7732807;Monitoreo;No Identificado;1273;25.4;Collar
229;DGA 606;SNGM-PTA-0524;466450;7734566;Monitoreo;No Identificado;1367;22.2;Collar
230;DGA 609;SNGM-PTA-0525;465780;7734343;Monitoreo;No Identificado;1338;31;Collar
231;DGA 629;SNGM-PTA-0526;464602;7733000;Monitoreo;No Identificado;1303;31.1;Collar
232;DGA 654;SNGM-PTA-0528;466010;7735176;Monitoreo;No Identificado;1357;34.8;Collar
233;DGA 680;SNGM-PTA-0529;467389;7736677;Monitoreo;No Identificado;1451;53.3;Collar
234;El Carmelo 2 D-60;SNGM-PTA-0537;435129.29;7755580.66;Monitoreo;No Identificado;1021.063;183;SNGM
235;Esmeralda 14;SNGM-PTA-0538;460279.48;7735015.73;Monitoreo;No Identificado;1115.626;90;SNGM
236;Esmeralda 15;SNGM-PTA-0539;460373.48;7735005.74;Monitoreo;No Identificado;1118.029;Sin informacion;SNGM
237;S. Pintados D-66;SNGM-PTA-0543;422090.26;7753912.58;Monitoreo;No Identificado;1012.972;Sin informacion;SNGM
238;Mendieta A-9;SNGM-PTA-0545;435018.36;7743587.62;Monitoreo;No Identificado;986.758;Sin informacion;SNGM
239;Pintados Pica 3 315;SNGM-PTA-0546;454122.5;7727886.68;Monitoreo;No Identificado;1055.512;71.6;SNGM
240;TC-92;SNGM-PTA-0600;448367.8;7705098.16;Monitoreo;No Identificado;1016.378;Sin informacion;SNGM
