ID,Pozo_DGA,Pozo,E,N,Tipo,Operador
239,Pintados Pica 3 315,SNGM-PTA-0546,454122.5,7727886.68,Monitoreo,DGA
240,TC-92,SNGM-PTA-0600,448367.8,7705098.16,Monitoreo,Aguas Nuevas
241,Esmeralda 34,SNGM-PTA-0611,456249,7738021,Monitoreo,DGA
242,Gmo. Araya A-100,SNGM-PTA-0615,431716,7747781,Monitoreo,Aguas Nuevas
243,Planta Sara 3A,SNGM-PTA-0618,421826,7753269,Monitoreo,DGA
244,Valle Quisma p075,SNGM-PTA-0627,463667,7730896,Monitoreo,Aguas Nuevas
245,Salar Zapiga 4,SNGM-PTA-0628,412650.93,7808958.71,Monitoreo,DGA
246,Salar Zapiga 2,SNGM-PTA-0632,424887,7821530,Monitoreo,Aguas Nuevas
247,Bellavista Sur,SNGM-PTA-0659,438284,7700237,Monitoreo,DGA
248,Reserva Bellavista 1,SNGM-PTA-0663,433341,7702047,Monitoreo,Aguas Nuevas
249,Carmina 1,SNGM-PTA-0691,417434,7803733,Monitoreo,DGA
250,Carmina 2,SNGM-PTA-0692,417623.65,7803542.34,Monitoreo,Aguas Nuevas
251,Aroma PF-004,SNGM-PTA-0693,427968,7808184,Monitoreo,DGA
252,Tarapacá 4,SNGM-PTA-0702,418744,7758357,Monitoreo,Aguas Nuevas
253,SC-968,SNGM-PTA-0704,425503.5,7779668.95,Monitoreo,DGA
254,R-1,SNGM-PTA-0706,425167,7790248,Monitoreo,Aguas Nuevas
255,MERCK-IX,SNGM-PTA-0707,421491.5,7789322.32,Monitoreo,DGA
256,Pozo Almonte S-12,SNGM-PTA-0710,425657,7764417,Monitoreo,Aguas Nuevas
257,HMC-4,SNGM-PTA-0723,444163,7756787,Monitoreo,DGA
258,SCR-2,SNGM-PTA-0729,432740,7635446,Monitoreo,Aguas Nuevas
259,SCR-3,SNGM-PTA-0730,432361.61,7635382.81,Monitoreo,DGA
260,SCR-8,SNGM-PTA-0731,431656,7634982,Monitoreo,Aguas Nuevas
261,SCR-9,SNGM-PTA-0732,431534.97,7635174.87,Monitoreo,DGA
262,MC-006,SNGM-PTA-0733,429721,7634405,Monitoreo,Aguas Nuevas
263,S-18A,SNGM-PTA-0736,434281.77,7647902.45,Monitoreo,DGA
264,S-30,SNGM-PTA-0739,426017,7696140,Monitoreo,Aguas Nuevas
265,Victoria Pique 2,SNGM-PTA-0743,436846,7702819,Monitoreo,DGA
266,Chacarilla 1 A-20,SNGM-PTA-0777,455334,7720908.61,Monitoreo,Aguas Nuevas
267,Chacarilla 2 A-21,SNGM-PTA-0778,455315,7720923,Monitoreo,DGA
268,Salar Zapiga 3,SNGM-PTA-1583,427821,7816009,Monitoreo,Aguas Nuevas
269,Salar Pintados Radio,SNGM-PTA-1585,434025.14,7726026.43,Monitoreo,DGA
270,Est Exp Pintados,SNGM-PTA-1587,432852,7719499,Monitoreo,Aguas Nuevas
271,Salar Pintados BNA 20-9,SNGM-PTA-1588,440948,7721988,Monitoreo,DGA
272,Salar Pintados BNA 21-7,SNGM-PTA-1589,435440,7723967,Monitoreo,Aguas Nuevas
273,Salar Pintados Pica 1,SNGM-PTA-1590,446009,7723542,Monitoreo,DGA
274,Salar Bellavista BNA 25-K,SNGM-PTA-1592,434324,7713048,Monitoreo,Aguas Nuevas
275,Salar Bellavista BNA 27-6,SNGM-PTA-1593,433968.09,7703583.37,Monitoreo,DGA
276,La Tirana 1,SNGM-PTA-1594,438217,7756779,Monitoreo,Aguas Nuevas
277,Refresco,SNGM-PTA-1595,435531.17,7749089.58,Monitoreo,DGA
278,Bosque Junoy BNA 33-0,SNGM-PTA-1596,435819,7746564,Monitoreo,Aguas Nuevas
279,Salar Pintados Pica 2,SNGM-PTA-1597,460616,7728809,Monitoreo,DGA
280,Salar Pintados 3,SNGM-PTA-1598,441554.13,7725808.37,Monitoreo,Aguas Nuevas
281,Salar Pintados BNA 37-3,SNGM-PTA-1599,435947,7727811,Monitoreo,DGA
282,Mosquitos 1,SNGM-PTA-1600,434260,7729588,Monitoreo,Aguas Nuevas
283,Est Salar Pintados 1,SNGM-PTA-1601,442968,7723963,Monitoreo,DGA
284,Salar Bellavista BNA 41-1,SNGM-PTA-1602,441581.2,7760485.56,Monitoreo,Aguas Nuevas
285,Salar Bellavista BNA 42-K,SNGM-PTA-1603,446236,7644285,Monitoreo,DGA
286,Recreo 1,SNGM-PTA-1622,431376.97,7732146.56,Monitoreo,Aguas Nuevas
287,Dren Of. Victoria,SNGM-PTA-1623,431639.7,7706250.02,Monitoreo,DGA
288,Iris 2,SNGM-PTA-1624,445208,7690216,Monitoreo,Aguas Nuevas
289,Puquio Núñez 3,SNGM-PTA-1647,461990,7723598,Monitoreo,DGA
290,Alto San Andrés,SNGM-PTA-1648,467807,7735911,Monitoreo,Aguas Nuevas
291,XT-9,SNGM-PTA-1651,435796.91,7638159.49,Monitoreo,DGA
292,2-HENOC,SNGM-PTA-1652,433601,7659645,Monitoreo,Aguas Nuevas
293,Iris 1,SNGM-PTA-1654,435974,7688175,Monitoreo,DGA
294,Soga 3,SNGM-PTA-1656,411899,7806942,Monitoreo,Aguas Nuevas
295,Pintados B-2,SNGM-PTA-1657,442296,7732598,Monitoreo,DGA
296,HPS-55,SNGM-PTA-1659,511622,7757137,Monitoreo,Aguas Nuevas
297,Bajo Soga,SNGM-PTA-1661,415179,7815670,Monitoreo,DGA
298,APR Tarapacá,SNGM-PTA-1662,446865,7796903,Monitoreo,Aguas Nuevas
299,Salar Zapiga,SNGM-PTA-1663,447601,7819767,Monitoreo,DGA
300,Concova 1,SNGM-PTA-1665,467844,7734911,Monitoreo,Aguas Nuevas
301,Enrique Aguayo,SNGM-PTA-1667,465241,7733123,Monitoreo,DGA
